pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
pos_current: ['116.385532659999995530597516335546970367431640625', '39.904409979999996949118212796747684478759765625', '0'], speed: 0.00, wheel_angle: 0.7000000000000028
