pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.1000000000000014, steering_wheel_angle: -21
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.3854387163201, 39.904410151755734, 0], theta_current: 275.0208715647844, speed: 0.00, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
