pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 3.799999999999997, steering_wheel_angle: 38
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
pos_current: [116.43094801041168, 39.92072627647457, 0], theta_current: 97.8214815846708, speed: 0.00, wheel_angle: -4.600000000000001, steering_wheel_angle: -46
